Association,Color,Style,Gender,Rating
Jeans,Green,Sporty,F,4.04
Sneakers,Blue,Casual,M,4.23
High Heels,Red,Formal,F,4.56
T-shirt,Black,Casual,M,4.12
Skirt,White,Formal,F,4.35
Shorts,Yellow,Sporty,M,4.17
Jeans,Gray,Casual,F,4.02
T-shirt,Brown,Casual,M,4.29
Shorts,Purple,Sporty,F,4.14
Sporty,Orange,Sporty,F,4.08
Blouse,Pink,Casual,F,4.45
Blazer,Light Blue,Formal,M,4.37
Blouse,Beige,Formal,M,4.21
Jeans,Navy Blue,Casual,F,4.33
Jeans,Maroon,Casual,F,4.27
Sneakers,Gray,Casual,M,4.09
High Heels,Black,Formal,F,4.36
Shorts,Green,Sporty,M,4.19
Jeans,Blue,Sporty,F,4.13
Skirt,White,Formal,F,4.25
T-shirt,Dark Blue,Casual,M,4.08
High Heels,Red,Formal,F,4.47
Sneakers,Gray,Casual,M,4.16
T-shirt,Black,Casual,M,4.38
Skirt,Yellow,Casual,F,4.04
Shorts,Gray,Sporty,F,4.29
Blazer,Striped,Formal,M,4.12
Jeans,Green,Casual,F,4.35
Shorts,Red,Sporty,F,4.24
Sporty,Blue,Sporty,F,4.18
Blouse,Beige,Formal,M,4.32
Skirt,Purple,Formal,F,4.09
Jeans,Black,Casual,F,4.43
Sneakers,Gray,Casual,M,4.07
High Heels,Blue,Formal,F,4.21
T-shirt,Black,Casual,M,4.39
Jeans,White,Sporty,F,4.16
Shorts,Orange,Sporty,M,4.28
T-shirt,Dark Gray,Casual,M,4.19
Skirt,Black,Casual,F,4.33
Shorts,Blue,Sporty,F,4.26
Blazer,Light Blue,Formal,M,4.18
Jeans,Maroon,Casual,F,4.07
Sneakers,Navy Blue,Casual,M,4.31
High Heels,Pink,Formal,F,4.25
Sporty,Red,Sporty,F,4.19
T-shirt,Light Blue,Casual,M,4.11
Skirt,White,Formal,F,4.47
Jeans,Gray,Sporty,F,4.22
Shorts,Green,Sporty,M,4.14
Shorts,Black,Sporty,F,4.08
Blazer,Plaid,Formal,M,4.33
Jeans,Gray,Casual,F,4.28
Sneakers,Black,Casual,M,4.15
High Heels,Black,Formal,F,4.39
Skirt,Red,Casual,F,4.31
T-shirt,Gray,Casual,M,4.24
Sporty,Gray,Sporty,F,4.16
Jeans,Dark Blue,Casual,M,4.45
Skirt,Blue,Formal,F,4.38
Jeans,White,Sporty,F,4.23
Shorts,Blue,Sporty,M,4.18
Jeans,Black,Casual,F,4.12
Sneakers,Gray,Casual,M,4.29
High Heels,Black,Formal,F,4.52
Jeans,Dark Blue,Casual,M,4.37
Skirt,Blue,Casual,F,4.14
Jeans,Light Blue,Casual,M,4.17
Shorts,Green,Sporty,M,4.34
Skirt,Blue,Formal,F,4.29
Shorts,Blue,Sporty,F,4.14
Blazer,Light Blue,Formal,M,4.47
Jeans,Maroon,Casual,F,4.08
Sneakers,Gray,Casual,M,4.25
High Heels,Black,Formal,F,4.52
Jeans,Dark Blue,Casual,M,4.37
